<,IssueID,URL,Title,Status,CreatedAt,BugType ,StackLayer,,CTClass,subtype,reason Bug,reason Stack,reason Class
NVIDIA/cuda-quantum,3433,https://github.com/NVIDIA/cuda-quantum/issues/3433,Can not pip install cudaq on Ubuntu 22.04,open,2025-09-10T22:11:20Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment ,B ,B ,B1,The PyPI cudaq source distributions are published with broken package metadata where the project name is reported as unknown ,The problem lives in the build pipeline for Python (pyproject),A packaging linter or CI step that validates the built Wheel metadata could detect this mismatch deterministically before Publishing. Fits  B1
NVIDIA/cuda-quantum,2937,https://github.com/NVIDIA/cuda-quantum/issues/2937,Wrong simulation result with the tensornet/tensornet-mps target,closed,2025-05-21T06:22:52Z,Performance-/Numerik-Bug ,Backend-Library ,C,C,,"For this specific highly structured 20-qubit circuit, the tensornet and tensornet-mps targets return a sample distribution that only contains 8 bitstrings instead of the 16 bitstrings ",The issue is confined to the tensor-network simulation backend. It is located in the Cuda-Q backend library. ,It is a numerical or algorithmic error in the backend logic. Therefore it cannot be detected at compile time.
NVIDIA/cuda-quantum,2641,https://github.com/NVIDIA/cuda-quantum/issues/2641,Testing regression introduced with python/tests/kernel/test_explicit_measurements.py,closed,2025-02-20T18:10:53Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment,B ,B ,B1,A change introduced in PR #2567 broke the Python test python/tests/kernel/test_explicit_measurements.py,The problem is the test harness and its target discovery logic that are incorrect for partial builds. Cuda-Q Kernel seem fine,"This is a configuration problem, which could be solved with a configuration check. Skipping the config could help. Fits B1 "
NVIDIA/cuda-quantum,2628,https://github.com/NVIDIA/cuda-quantum/issues/2628,using cudaq.State and mqpu backend to run two independent circuit gives error,open,2025-02-17T20:35:00Z,Backend-/Framework-Integrations-Bug,Runtime-/Framework-Runtime ,C,C,,"When the user prepares two cudaq.State objects from CuPy data and runs the same kernel on the nvidia target with option=""mqpu"" using sample_async on qpu_id=0 and qpu_id=1, the program aborts with ubackend::RuntimeError: cudaErrorIllegalAddress",The issue is rooted in the CUDA-Q backend. This points to abug in backend library. ,Illegal device address at runtime is low level memory management. 
NVIDIA/cuda-quantum,2627,https://github.com/NVIDIA/cuda-quantum/issues/2627,List of list in kernel argument gives error,open,2025-02-17T16:38:51Z,API-/Usage-/Logic-Bug (High-Level) ,High-Level-API / Framework-Logic ,A,A,,"When the kernel is declared with a nested Python type annotation and called with a list-of-lists argument, CUDA-Q fails at runtime with RuntimeError","The problem resides in the high-level Python language binding and its type-mapping layer. Kernel call uses  Python syntax, but Cuda-Q does not support this.",We could use a expressive static type checker for rejecting unsupported nested container types. This could be done at compile time.
NVIDIA/cuda-quantum,2625,https://github.com/NVIDIA/cuda-quantum/issues/2625,[Python][MLIR?] Loop miscompilation,closed,2025-02-17T15:45:17Z,API-/Usage-/Logic-Bug (High-Level) ,Backend-Library ,B ,B ,B2,Compiling the bar kernel crashes with an LLVM/MLIR assertion. ,The problem is in the Cuda-Q compiler / MLIR backend. ,"A robust IR verifier running after control flow transformation could detected that mlir::value with no attached result is being treated as an OpResult. This requieres IR level validation. Not simple compile time check, so B2"
NVIDIA/cuda-quantum,2608,https://github.com/NVIDIA/cuda-quantum/issues/2608,The bridge failing to deal with captured globals.,open,2025-02-11T12:18:59Z,API-/Usage-/Logic-Bug (High-Level),Framework-Integration,B ,B ,B2,The Python Q bridge records it in the symbol table as !cc.ptr<f64> instead of plain f64,The problem lies in the framework integration layer. ,Could possibly be resolved with data flow manager with capturied symbols to verify statically the globals used as scalar parameters. Fits B2 
NVIDIA/cuda-quantum,2600,https://github.com/NVIDIA/cuda-quantum/issues/2600,Return list[complex] fails when returning list[float],closed,2025-02-07T15:17:46Z,API-/Usage-/Logic-Bug (High-Level) ,High-Level-API / Framework-Logic ,A,A,,error: type of return operand 0 ('!cc.stdvec<f64>') doesn't match function result type ('!cc.stdvec<complex<f64>>') in function @__nvqpp__mlirgen__myop,"Usere code is syntactivally valid, but the bridge does not reconcile the list annoation with a float-valued list literal.", more advanced static type checker could be used for the front-end. It could detect return expression has ceratin type. Match this class A
NVIDIA/cuda-quantum,2593,https://github.com/NVIDIA/cuda-quantum/issues/2593,cannot use @cudaq.kernel in the interpreter: OSError: could not get source code,open,2025-02-06T16:42:27Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,C,,"When the user types the @cudaq.kernel example from the official VQE tutorial directly into an interactive Python interpreter, the decorator fails",The failure occurs entirely in the high-level Python API. No backend simulation or procedure is involved.,Bug seems to be limited at at specific interpreter environment and is bound to Python semantics. How to rule out this at compile time? Class C
NVIDIA/cuda-quantum,2575,https://github.com/NVIDIA/cuda-quantum/issues/2575,custom gate register_operation doesn't seem to work if it is invoked in one kernel which is nested in another.,open,2025-02-02T19:37:34Z,API-/Usage-/Logic-Bug (High-Level) ,Framework-Integration ,C,C,,"A custom matrix gate registered via cudaq.register_operation(""my_gate"", my_matrix) can be called in a kernel, but calling it through a nested kernel is ignored",It seems like the problem is in the Python Framework integration that connects custom registered operations into kernel call graphs.,"Hard to impossible to validate, because detecting requieres reasoning which is not simply checked at compile time. Fits C "
NVIDIA/cuda-quantum,2560,https://github.com/NVIDIA/cuda-quantum/issues/2560,Input argument to a kernel throws an error,open,2025-01-30T16:21:31Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,A,A,,"A kernel with def kernel(list) cannot be called with a = [(1,2)]. The Python bridge raises an error while trying to interpret the list. ",Parses annotations and builds python to Q type mapping. Seems to be high level Python API to framework mapping problem.,A stronger static checker for the Python fron-end could detect that list of touples is an unsupported operation. Fits A
NVIDIA/cuda-quantum,2550,https://github.com/NVIDIA/cuda-quantum/issues/2550,[Python] Noise channels don't respect single/double precision setting of the target,closed,2025-01-28T00:33:22Z,Performance-/Numerik-Bug,Backend-Library,C,C,,"In NoiseModel.h, kraus_op data is templated (cudaq::complex). However, when generating Python binding (py_NoiseModel.cpp), this is compiled only with double precision config. This caused bogus Kraus channel data for single-precision targets, e.g., when the channel is created in Python with cudaq.KrausChannel",It is a backend library config problem for the Python binings. Model templates and their Python exposure seem to be inconsistent.,Needs verification that c or cpp File is built for both float and double. Underlying issue is numeric implementation error.
NVIDIA/cuda-quantum,2541,https://github.com/NVIDIA/cuda-quantum/issues/2541,Python ast bridge and kernel builder do not properly annotate kernels,closed,2025-01-24T21:20:06Z,Backend-/Framework-Integrations-Bug ,Framework-Integration ,B ,B ,B2, A kernel function must be annotated with the cudaq-kernel attribute. Python doesn't do this making proper identification of kernel functions impossible,"Python front end generates Q-IR, bridge omits the kernel annotation in the produced metadata, independent of backend simulator or environment.",metadata validator could check any callable exposed as Cuda-Q kernel carries the cudaq-kernel attribute and flag missing annotations before compilation. Would requiere lots of effort with metadata checks. 
NVIDIA/cuda-quantum,2540,https://github.com/NVIDIA/cuda-quantum/issues/2540,Python AST Builder assigns quantum memory artifacts to classic memory locations,closed,2025-01-24T21:10:55Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,B ,B ,B2,"Lowering generates a pattern that copies quantum references into a classical array, which is prohibited according to IR semantics.","Backend library: The problem lies in the code generator/optimizer passes for Quake/CC-IR, not in the user frontend.","(potentially avoidable at compile time, advanced analysis): An IR verifier could prohibit quake.ref from being stored in classic data structures (local pattern, but special check required)."
NVIDIA/cuda-quantum,2538,https://github.com/NVIDIA/cuda-quantum/issues/2538,Python kernel builder uses empty strings for measurement names,closed,2025-01-24T20:04:52Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic,A,A,,"Python kernel builder generates measurement operations with empty names, even though this is defined as illegal in the IR.","The error is in the high-level builder, which generates invalid IR.",A simple local check “Name must not be empty” in the Builder or IR Verifier would deterministically prevent this pattern.
NVIDIA/cuda-quantum,2536,https://github.com/NVIDIA/cuda-quantum/issues/2536,Compile error when using `cudaq::adjoint` on quantum kernels with non-trivial `for` loop conditions,open,2025-01-24T14:47:30Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,C,C,,"From the user's point of view, correct loops (e.g., i < size-1 or while (i < size)) cannot be adjusted and lead to compiler errors.","The problem stems from the MLIR/CFG/adjoint passes in the compiler, not from the environment or backend selection.",The lack of support for certain control flow forms in the adjoint pipeline is a compiler implementation problem that cannot be avoided by additional checks on the user code.
NVIDIA/cuda-quantum,2525,https://github.com/NVIDIA/cuda-quantum/issues/2525,cudaq.control() doesn't work with exp_pauli(),closed,2025-01-21T17:57:24Z,Performance-/Numerik-Bug ,Backend-Library ,C,C,,"The circuit perform the exp_pauli() on both the |0> and the |1> subspaces on the state. If I instead, perform a cudaq.control() with a different gate, say Ry(), I get the correct result. ",The problem resides in the backend library’s implementation of exp_pauli and its interaction with cudaq.control for controlled multi-qubit exponentials,This is a semantic error in the backend’s numerical logic for controlled exp_pauli. It cannot be ruled out by generic compile-time or static type checks and requires runtime validation
NVIDIA/cuda-quantum,2457,https://github.com/NVIDIA/cuda-quantum/issues/2457,`mx` operation unsupported in OpenQASM conversion,closed,2024-12-09T19:27:09Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,C,,"Currently, a CUDA-Q kernel containing the mx measurement operation cannot be translated into OpenQASM 2.0 via cudaq.translate()",Possible error in integration btw Cuda-Qs Quake IR and the OpenQASM 2 backend.,a static checker couldn't generally know which operations a given translation backend supports
NVIDIA/cuda-quantum,2453,https://github.com/NVIDIA/cuda-quantum/issues/2453,Float comparison operator throws throws error in cudaq.kernel,closed,2024-12-05T21:43:47Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,B ,B ,B2,"Attempting to use comparison operators like < throws an error in a cudaq.kernel. Used kernel is a = 0.5 < 1.0. This will throw: error: 'arith.cmpi' op operand #0 must be signless-integer-like, but got 'f64' ","the high-level kernel code is valid Python, but the bridge emits an arith.cmpi op with the wrong type constraints ",A IR validator or operator-compatibility check could statically flag that float operands are being fed to an integer-only compare op 
